trip_id,from_stop_id,to_stop_id,distance_km
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,330,173,2.5598
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,173,171,0.8202
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,171,170,0.5554
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,170,168,1.2152
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,168,398,2.262
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,398,434,4.1648000000000005
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,434,395,5.6513
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,395,392,1.7441
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,392,389,2.8827
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,389,251,4.873399999999999
APpubImR-DQ7ipx8VqTDi-07:00:00,326,321,0.7621
APpubImR-DQ7ipx8VqTDi-07:00:00,321,337,0.8311000000000001
APpubImR-DQ7ipx8VqTDi-07:00:00,337,433,1.8855
APpubImR-DQ7ipx8VqTDi-07:00:00,433,429,1.7124000000000001
APpubImR-DQ7ipx8VqTDi-07:00:00,429,428,2.3773
Ass95AtKKd_cJzSpFbbks-07:00:00,273,295,1.1683
BSHIbLq-S_VbTLPj0f5S7-07:00:00,283,260,0.8336
Bir76FY1196m5b2RCrotL-07:00:00,403,406,1.3409
Bir76FY1196m5b2RCrotL-07:00:00,406,404,0.4209
Bir76FY1196m5b2RCrotL-07:00:00,404,423,1.0840999999999998
Bir76FY1196m5b2RCrotL-07:00:00,423,430,1.7530999999999999
Bir76FY1196m5b2RCrotL-07:00:00,430,431,1.863
BxVJu5Cu3SBv6k6JEotw3-07:00:00,400,363,1.1622999999999999
BxVJu5Cu3SBv6k6JEotw3-07:00:00,363,10,20.0472
BxVJu5Cu3SBv6k6JEotw3-07:00:00,10,7,0.6347999999999999
